brand|description|condition|id|image_link|link|mpn|isbn|price|google product category|title|upc|shipping|adwords_redirect|adwords_labels|Product type|Size|Colour|availability|promotion_id|is_bundle
Gorenje|Designer 60cm Built In Single Multifunction Oven|New|BO87ORAX|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/G/Gorenje-bo87orax-oven.jpg|http://www.appliancecity.co.uk/gorenje/ovens/bo87orax/product-4182//|BO87ORAX||589.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ovens|Gorenje BO87ORAX in BLACK Designer 60cm Built In Single Multifunction Oven|3838942525469|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=178&DELCMD=70||Ovens||BLACK|In Stock||
Caple|100cm 4 Burner Gas On Glass Hob|New|C1081G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c1081g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c1081g/product-13110//|C1081G||799.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C1081G in BLACK 100cm 4 Burner Gas On Glass Hob|5038024398426|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=211&DELCMD=70||Hobs||BLACK|In Stock||
Caple|Multifunction Single Oven|New|C2100|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c2100-single-oven.jpg|http://www.appliancecity.co.uk/caple/ovens/c2100/product-13111//|C2100||529.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ovens|Caple C2100 in STAINLESS STEEL Multifunction Single Oven|5038024399676|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=212&DELCMD=70||Ovens||STAINLESS STEEL|In Stock||
Caple|Built In Single Oven|New|C2361SS|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c2361-single-oven.jpg|http://www.appliancecity.co.uk/caple/ovens/c2361ss/product-13118//|C2361SS||529.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ovens|Caple C2361SS in STAINLESS STEEL Built In Single Oven|5038024127989|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=215&DELCMD=70||Ovens||STAINLESS STEEL|In Stock||
Caple|90cm Wide Multifunction Single Oven|New|C2900|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c2900-oven.jpg|http://www.appliancecity.co.uk/caple/ovens/c2900/product-13121//|C2900||849.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ovens|Caple C2900 in STAINLESS STEEL 90cm Wide Multifunction Single Oven|5038024399669|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=218&DELCMD=70||Ovens||STAINLESS STEEL|In Stock||
Caple|60cm Gas On Glass Hob With Steel Trim|New|C739G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c739g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c739g/product-13149//|C739G||339.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C739G in STAINLESS STEEL 60cm Gas On Glass Hob With Steel Trim|5038024128498|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=220&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
Caple|75cm Gas On Glass Hob Steel Trim|New|C759G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c759g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c759g/product-13152//|C759G||429.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C759G in STAINLESS STEEL 75cm Gas On Glass Hob Steel Trim|5038024128481|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=223&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
Caple|90cm Gas On Glass Hob Steel Trim|New|C769G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c769g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c769g/product-13154//|C769G||399.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C769G in STAINLESS STEEL 90cm Gas On Glass Hob Steel Trim|5038024128474|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=225&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
Caple|59cm 4 Burner Low Profile Gas Hob|New|C848G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c848g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c848g/product-15862//|C848G||229.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C848G in STAINLESS STEEL 59cm 4 Burner Low Profile Gas Hob|5038024517216|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=228&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
Caple|75cm 5 Burner Gas Hob|New|C866G|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/Caple-c866g-gas-hob.jpg|http://www.appliancecity.co.uk/caple/hobs/c866g/product-15861//|C866G||339.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|Caple C866G in STAINLESS STEEL 75cm 5 Burner Gas Hob|5038024517223|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=230&DELCMD=70||Hobs||STAINLESS STEEL|In Stock||
